timestamp,open,high,low,close,volume
2018-07-20,121.3400,130.5400,120.1100,125.8500,94593591
2018-06-29,120.3800,124.8450,119.9700,121.3400,139906981
2018-05-31,126.3200,127.6100,118.6210,119.6200,139533228
2018-04-30,127.8200,132.8800,123.5400,126.4900,144126787
2018-03-29,129.1100,135.7000,124.9000,128.1500,147871674
2018-02-28,137.5300,140.6700,122.1500,129.8800,175166385
2018-01-31,139.6600,148.3200,138.1000,138.1900,165186233
2017-12-29,139.5700,143.8000,138.6000,139.7200,110005044
2017-11-30,139.8300,141.8700,136.6000,139.3300,92291475
2017-10-31,130.1600,144.3523,130.0200,139.4100,119394799
2017-09-29,132.6000,135.7900,129.0500,130.0100,112551362
2017-08-31,133.1700,134.9700,130.9000,132.3700,103707554
2017-07-31,132.7900,137.0800,129.5711,132.7200,105498131
2017-06-30,128.3200,137.0000,128.1200,132.2900,143335525
2017-05-31,123.4000,128.8000,122.3400,128.2500,111435425
2017-04-28,124.7300,125.8100,120.9500,123.4700,92734522
2017-03-31,122.4900,129.0000,122.3900,124.5500,166552677
2017-02-28,112.4800,122.8800,112.4700,122.2100,133813250
2017-01-31,115.7800,117.0000,110.7600,113.2500,143309802
2016-12-30,111.3600,117.3000,109.3200,115.2100,138043546
2016-11-30,114.7600,122.5000,111.3000,111.3000,171881719
2016-10-31,118.0000,120.1955,112.9900,115.9900,140052892
2016-09-30,119.1900,119.9700,117.0434,118.1300,130379636
2016-08-31,125.3100,125.9000,118.3300,119.3400,138567506
2016-07-29,121.5400,126.0700,120.7900,125.2300,124602401
2016-06-30,112.5700,121.4100,112.0700,121.3000,167568126
2016-05-31,112.2200,115.0000,111.7000,112.6900,141092715
2016-04-29,108.0000,114.1900,107.6900,112.0800,158171281
2016-03-31,105.9000,109.5600,105.4400,108.2000,172912906
2016-02-29,103.6100,106.9200,99.7800,105.2100,201534921
2016-01-29,101.7100,104.7500,94.2800,104.4400,211264010
2015-12-31,101.7300,105.4900,100.3100,102.7200,161973865
2015-11-30,101.1800,103.0000,99.7400,101.2400,126157452
2015-10-30,93.4300,102.1200,91.7600,101.0300,191792688
2015-09-30,92.2900,96.1900,89.9000,93.3500,201657631
2015-08-31,100.0000,101.0000,81.7900,93.9800,194750801
2015-07-31,98.3000,101.3600,96.6400,100.2100,151829212
2015-06-30,100.2800,100.8400,97.0100,97.4600,170008492
2015-05-29,99.6200,104.4800,98.6600,100.1400,143760078
2015-04-30,100.4600,102.1400,98.0400,99.2000,171541632
2015-03-31,102.8600,103.4100,98.2200,100.6000,177429841
2015-02-27,100.4900,103.3300,97.1500,102.5100,191363861
2015-01-30,105.0500,106.5000,100.0900,100.1400,195027355
2014-12-31,107.8900,108.9900,102.5000,104.5700,175580889
2014-11-28,107.8300,109.4900,106.6000,108.2500,125674760
2014-10-31,105.9800,108.1800,95.1000,107.7800,232663082
2014-09-30,103.3000,108.7700,103.0200,106.5900,130486054
2014-08-29,99.7600,104.4200,98.8000,103.7300,120163600
2014-07-31,105.1500,106.7400,100.0500,100.0900,148795100
2014-06-30,101.5400,106.0000,101.0100,104.6200,123993600
